command_id,category,purpose,real_world_example,output_type,template_type,kb_search_queries,estimated_lines,similar_commands,status
ghl-workflow,workflow,Interactive workflow designer with KB search,Create welcome email sequence,json,automation,"workflow automation, email sequences",300,ghl-workflow-trigger|ghl-workflow-action,done
ghl-lead-nurture,lead,Niche-specific lead nurturing automation,Generate SaaS lead nurture sequence,json,automation,"lead nurturing, niche sequences",400,ghl-email-sequence|ghl-workflow,done
ghl-appointment,sales,Appointment automation with smart reminders,Set up appointment reminders,json,automation,"appointment automation, no-show prevention",350,ghl-workflow|ghl-sms-automation,done
ghl-funnel,sales,High-converting sales funnel designer,Build webinar funnel,json,automation,"funnel building, lead capture",400,ghl-form|ghl-landing-page,done
ghl-form,lead,Form optimization with conversion psychology,Create lead capture form,json,automation,"form optimization, conversion",400,ghl-landing-page|ghl-funnel,done
ghl-landing-page,lead,Landing page designer with copywriting,Design sales page,json,automation,"landing pages, copywriting",400,ghl-form|ghl-funnel,done
ghl-workflow-trigger,workflow,Set up specific workflow triggers,Trigger on tag added,guide,guide,"workflow triggers, conditions",250,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-action,workflow,Add workflow action nodes,Send email action,guide,guide,"workflow actions, automation",250,ghl-workflow|ghl-workflow-trigger,not-started
ghl-workflow-condition,workflow,Build conditional logic,If-else conditions,guide,guide,"conditional logic, branching",250,ghl-workflow|ghl-workflow-branch,not-started
ghl-workflow-delay,workflow,Set up delays and timing,Wait 3 days then send,guide,guide,"delays, timing, scheduling",200,ghl-workflow|ghl-workflow-action,not-started
ghl-workflow-branch,workflow,Create multi-path workflows,Route based on conditions,guide,guide,"workflow branching, routing",200,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-loop,workflow,Repeat actions with conditions,Loop through contacts,guide,guide,"workflow loops, repetition",200,ghl-workflow|ghl-workflow-condition,not-started
ghl-workflow-test,workflow,Test workflow before launching,Validate workflow logic,guide,guide,"workflow testing, debugging",200,ghl-workflow|ghl-troubleshoot,not-started
ghl-workflow-pause,workflow,Pause and resume workflows,Stop automation temporarily,guide,guide,"workflow management, pausing",150,ghl-workflow|ghl-workflow-clone,not-started
ghl-workflow-clone,workflow,Duplicate existing workflows,Copy workflow to another client,guide,guide,"workflow cloning, duplication",150,ghl-workflow|ghl-workflow-pause,not-started
ghl-workflow-archive,workflow,Archive old workflows,Clean up inactive workflows,guide,guide,"workflow management, archiving",150,ghl-workflow|ghl-workflow-pause,not-started
ghl-workflow-bulk-edit,workflow,Modify multiple workflows at once,Update all email workflows,guide,guide,"bulk operations, workflow management",200,ghl-workflow|ghl-workflow-archive,not-started
ghl-workflow-performance,workflow,Analyze workflow execution stats,Check workflow efficiency,guide,guide,"workflow analytics, performance",250,ghl-workflow|ghl-analytics-setup,not-started
ghl-workflow-troubleshoot,workflow,Debug workflow issues,Workflow not triggering,guide,guide,"workflow debugging, troubleshooting",250,ghl-workflow|ghl-troubleshoot,not-started
ghl-workflow-optimization,workflow,Suggest performance improvements,Speed up slow workflow,guide,guide,"workflow optimization, performance",250,ghl-workflow|ghl-workflow-performance,not-started
ghl-workflow-documentation,workflow,Auto-document workflows,Create workflow diagrams,guide,guide,"workflow documentation, diagramming",200,ghl-workflow|ghl-command-finder,not-started
ghl-workflow-logging,workflow,Track workflow execution,Monitor workflow runs,guide,guide,"workflow logging, monitoring",200,ghl-workflow|ghl-workflow-performance,not-started
ghl-webhook-receiver,workflow,Set up webhook receivers,Receive external data,guide,guide,"webhooks, external integrations",250,ghl-api-integration|ghl-workflow,not-started
ghl-api-trigger,workflow,API-based workflow triggers,Trigger via API call,guide,guide,"api integration, triggers",200,ghl-webhook-receiver|ghl-workflow,not-started
ghl-scheduled-automation,workflow,Recurring automations,Run workflow daily,guide,guide,"scheduling, recurring automation",200,ghl-workflow|ghl-workflow-delay,not-started
ghl-conditional-routing,workflow,Route based on complex conditions,Route leads by score,guide,guide,"routing, conditional logic",250,ghl-workflow|ghl-workflow-branch,not-started
ghl-form,lead,Form optimization with conversion psychology,Create lead capture form,json,automation,"form optimization, conversion",400,ghl-landing-page|ghl-funnel,done
ghl-form-field,lead,Add and configure form fields,Add email field,guide,guide,"form fields, configuration",200,ghl-form|ghl-form-validation,not-started
ghl-form-conditional,lead,Show hide fields based on answers,Show phone if company selected,guide,guide,"conditional fields, branching",250,ghl-form|ghl-form-branching,not-started
ghl-form-branching,lead,Multi-step forms with branching,Progressive form reveal,guide,guide,"form branching, multi-step",250,ghl-form|ghl-form-conditional,not-started
ghl-form-validation,lead,Set field validation rules,Email must be valid,guide,guide,"form validation, rules",200,ghl-form|ghl-form-field,not-started
ghl-form-styling,lead,Customize form appearance,Change form colors,guide,guide,"form styling, customization",200,ghl-form|ghl-landing-page,not-started
ghl-form-prefill,lead,Pre-populate form fields,Auto-fill known data,guide,guide,"form prefill, personalization",200,ghl-form|ghl-form-field,not-started
ghl-form-advanced,lead,Advanced form features,File uploads and calculations,guide,guide,"form features, advanced",250,ghl-form|ghl-form-field,not-started
ghl-landing-page,lead,Landing page designer with copywriting,Design sales page,json,automation,"landing pages, copywriting",400,ghl-form|ghl-funnel,done
ghl-landing-page-ab-test,lead,Set up A/B tests on pages,Test two headline versions,guide,guide,"a/b testing, page optimization",250,ghl-landing-page|ghl-a-b-testing,not-started
ghl-landing-page-mobile,lead,Mobile optimization guide,Ensure mobile responsiveness,guide,guide,"mobile optimization, responsive",200,ghl-landing-page|ghl-landing-page-design,not-started
ghl-landing-page-seo,lead,SEO setup for pages,Add title and meta tags,guide,guide,"seo, page optimization",200,ghl-landing-page|ghl-landing-page-tracking,not-started
ghl-landing-page-tracking,lead,Add conversion tracking,Set up pixel tracking,guide,guide,"conversion tracking, pixels",200,ghl-landing-page|ghl-analytics-setup,not-started
ghl-landing-page-elements,lead,Add page elements,Add buttons forms videos,guide,guide,"page elements, customization",250,ghl-landing-page|ghl-landing-page-design,not-started
ghl-landing-page-speed,lead,Optimize page loading speed,Reduce load time,guide,guide,"page speed, performance",200,ghl-landing-page|ghl-performance-optimization,not-started
ghl-landing-page-design,lead,Design and layout templates,Choose page template,guide,guide,"page design, templates",200,ghl-landing-page|ghl-landing-page-elements,not-started
ghl-popup,lead,Create pop-ups,Exit intent pop-up,json,automation,"popups, conversion",300,ghl-landing-page|ghl-form,not-started
ghl-popup-timing,lead,Set up pop-up triggers,Show after 5 seconds,guide,guide,"popup triggers, timing",200,ghl-popup|ghl-popup,not-started
ghl-survey,lead,Create surveys for qualification,Lead qualification survey,guide,guide,"surveys, qualification",250,ghl-form|ghl-quiz,not-started
ghl-quiz,lead,Build lead qualification quizzes,Lead matching quiz,json,automation,"quizzes, lead gen",300,ghl-survey|ghl-form,not-started
ghl-chat-widget,lead,Set up chat for lead capture,Live chat widget,guide,guide,"chat, lead capture",200,ghl-form|ghl-popup,not-started
ghl-lead-magnet,lead,Create lead magnet sequences,Free guide download sequence,json,automation,"lead magnets, downloads",350,ghl-form|ghl-email-sequence,not-started
ghl-email-sequence,lead,Email sequence builder,Create cold email sequence,json,automation,"email sequences, nurturing",300,ghl-email-template|ghl-email-copy,not-started
ghl-email-template,lead,Email design templates,Professional email layout,guide,guide,"email templates, design",200,ghl-email-sequence|ghl-email-styling,not-started
ghl-email-copy,lead,Email copywriting formulas,Write persuasive emails,guide,guide,"email copywriting, formulas",250,ghl-email-sequence|ghl-email-subject-line,not-started
ghl-email-subject-line,lead,Subject line optimization,Create engaging subject lines,guide,guide,"subject lines, optimization",200,ghl-email-sequence|ghl-email-copy,not-started
ghl-email-personalization,lead,Dynamic content and personalization,Use contact name in email,guide,guide,"personalization, dynamic content",250,ghl-email-sequence|ghl-email-field,not-started
ghl-email-segmentation,lead,Send to specific segments,Send only to hot leads,guide,guide,"segmentation, targeting",200,ghl-email-sequence|ghl-segment-builder,not-started
ghl-email-timing,lead,Optimize send times,Best time to send email,guide,guide,"email timing, optimization",200,ghl-email-sequence|ghl-email-frequency,not-started
ghl-email-frequency,lead,Set sending frequency,Limit emails per week,guide,guide,"frequency capping, limits",200,ghl-email-sequence|ghl-email-timing,not-started
ghl-email-compliance,lead,CAN SPAM and GDPR compliance,Add unsubscribe link,guide,guide,"email compliance, legal",250,ghl-email-sequence|ghl-compliance-checklist,not-started
ghl-email-testing,lead,A/B test emails,Test two subject lines,guide,guide,"email testing, a/b testing",250,ghl-email-sequence|ghl-a-b-testing,not-started
ghl-sms-automation,lead,SMS workflow builder,SMS reminder sequence,json,automation,"sms automation, messaging",250,ghl-email-sequence|ghl-workflow,not-started
ghl-sms-template,lead,SMS message templates,Pre-written SMS messages,guide,guide,"sms templates, messages",150,ghl-sms-automation|ghl-sms-copy,not-started
ghl-sms-compliance,lead,TCPA compliance for SMS,Verify opt-in for SMS,guide,guide,"sms compliance, legal",200,ghl-sms-automation|ghl-compliance-checklist,not-started
ghl-sms-timing,lead,Best times to send SMS,Send SMS during business hours,guide,guide,"sms timing, optimization",150,ghl-sms-automation|ghl-email-timing,not-started
ghl-sms-shortcodes,lead,Use shortcodes for SMS,Set up keyword responses,guide,guide,"sms shortcodes, keywords",200,ghl-sms-automation|ghl-sms-keywords,not-started
ghl-sms-keywords,lead,Set up SMS keyword responses,Auto-reply to keywords,guide,guide,"sms keywords, automation",200,ghl-sms-automation|ghl-sms-shortcodes,not-started
ghl-nurture-cold-email,lead,Cold email sequences,Cold email outreach,json,automation,"cold email, outreach",350,ghl-email-sequence|ghl-lead-nurture,not-started
ghl-nurture-re-engagement,lead,Win-back campaigns,Reactivate inactive leads,json,automation,"re-engagement, win-back",350,ghl-lead-nurture|ghl-email-sequence,not-started
ghl-nurture-broadcast,lead,One-off broadcast campaigns,Product announcement blast,json,automation,"broadcast, campaigns",300,ghl-email-sequence|ghl-segment-builder,not-started
ghl-nurture-drip,lead,Drip campaigns,Automated drip sequence,json,automation,"drip campaigns, automation",300,ghl-email-sequence|ghl-workflow,not-started
ghl-nurture-engagement,lead,Engagement-focused sequences,Keep leads engaged,json,automation,"engagement, nurturing",300,ghl-lead-nurture|ghl-email-sequence,not-started
ghl-nurture-social-proof,lead,Social proof sequences,Send testimonials and case studies,json,automation,"social proof, credibility",350,ghl-email-sequence|ghl-lead-nurture,not-started
ghl-nurture-urgency,lead,Limited-time offers,Create scarcity urgency,json,automation,"urgency, scarcity, offers",300,ghl-lead-nurture|ghl-offer-builder,not-started
ghl-nurture-education,lead,Educational sequences,Teach prospects about solution,json,automation,"education, training",300,ghl-lead-nurture|ghl-email-sequence,not-started
ghl-nurture-storytelling,lead,Story-based sequences,Tell brand story,json,automation,"storytelling, narrative",350,ghl-lead-nurture|ghl-email-copy,not-started
ghl-nurture-value-stack,lead,Value stacking sequences,Build value progressively,json,automation,"value stacking, progression",350,ghl-lead-nurture|ghl-email-sequence,not-started
ghl-nurture-objection-handling,lead,Objection handling sequences,Address common objections,json,automation,"objections, handling",350,ghl-lead-nurture|ghl-objection-handler,not-started
ghl-sales-workflow,sales,Sales process automation,Sales follow-up automation,json,automation,"sales workflows, automation",300,ghl-workflow|ghl-sales-follow-up,not-started
ghl-sales-call-booking,sales,Calendar integration,Book calls automatically,guide,guide,"calendar, scheduling, integration",250,ghl-appointment|ghl-workflow,not-started
ghl-appointment-reminder,sales,Appointment reminders,Send appointment reminders,json,automation,"appointment, reminders",300,ghl-appointment|ghl-sms-automation,not-started
ghl-demo-request,sales,Demo workflow,Demo request automation,json,automation,"demo, workflow",300,ghl-workflow|ghl-sales-workflow,not-started
ghl-proposal-builder,sales,Generate proposals,Auto-generate proposals,guide,guide,"proposals, documents",250,ghl-workflow|ghl-pdf-generation,not-started
ghl-contract-esign,sales,E-signature workflows,DocuSign integration,guide,guide,"e-signature, contracts",200,ghl-workflow|ghl-payment-collection,not-started
ghl-payment-collection,sales,Payment workflows,Collect payment automation,json,automation,"payment, collection",300,ghl-stripe-integration|ghl-workflow,not-started
ghl-sales-follow-up,sales,Post-call follow-ups,Follow up after sales call,json,automation,"sales follow-up, sequences",300,ghl-email-sequence|ghl-workflow,not-started
ghl-objection-handler,sales,Objection handling scripts,Objection response templates,guide,guide,"objections, sales, responses",250,ghl-email-copy|ghl-sales-follow-up,not-started
ghl-pricing-strategy,sales,Pricing optimization,Optimize price point,guide,guide,"pricing, strategy",200,ghl-offer-builder|ghl-pricing-psychology,not-started
ghl-offer-builder,sales,Create tiered offers,Build 3-tier pricing,json,automation,"offers, pricing, upsells",300,ghl-pricing-strategy|ghl-upsell-sequence,not-started
ghl-upsell-sequence,sales,Upsell automation,Upsell higher tier product,json,automation,"upsells, sales, revenue",300,ghl-offer-builder|ghl-email-sequence,not-started
ghl-downsell-sequence,sales,Downsell options,Offer lower price alternative,json,automation,"downsells, options",250,ghl-offer-builder|ghl-upsell-sequence,not-started
ghl-urgency-builder,sales,Create urgency and scarcity,Limited time offers,guide,guide,"urgency, scarcity, psychology",200,ghl-offer-builder|ghl-nurture-urgency,not-started
ghl-guarantee-builder,sales,Build guarantees and risk reversal,Money-back guarantee,guide,guide,"guarantees, risk reversal",200,ghl-offer-builder|ghl-sales-follow-up,not-started
ghl-sales-pipeline,sales,Visual pipeline management,Kanban-style pipeline,guide,guide,"pipeline, crm, visualization",250,ghl-lead-routing|ghl-workflow,not-started
ghl-sales-forecasting,sales,Revenue forecasting,Forecast monthly revenue,guide,guide,"forecasting, analytics, revenue",250,ghl-analytics-setup|ghl-cac-calculation,not-started
ghl-product-setup,ecommerce,Create products,Add product to store,guide,guide,"products, ecommerce, setup",250,ghl-checkout-builder|ghl-payment-gateway,not-started
ghl-product-pricing,ecommerce,Set product pricing,Set product price,guide,guide,"pricing, products, ecommerce",200,ghl-product-setup|ghl-pricing-strategy,not-started
ghl-product-variants,ecommerce,Product variants,Add product sizes colors,guide,guide,"product variants, ecommerce",200,ghl-product-setup|ghl-inventory-notification,not-started
ghl-checkout-builder,ecommerce,Checkout page optimization,Optimize checkout flow,json,automation,"checkout, conversion, optimization",300,ghl-form|ghl-payment-gateway,not-started
ghl-payment-gateway,ecommerce,Payment processing,Stripe PayPal integration,guide,guide,"payments, processing, integration",250,ghl-stripe-integration|ghl-checkout-builder,not-started
ghl-invoice-automation,ecommerce,Invoice generation,Auto-generate invoices,guide,guide,"invoices, automation",200,ghl-payment-gateway|ghl-order-confirmation,not-started
ghl-billing-cycles,ecommerce,Recurring billing setup,Monthly subscription billing,guide,guide,"billing, subscriptions, recurring",250,ghl-subscription-management|ghl-payment-gateway,not-started
ghl-subscription-management,ecommerce,Subscription workflows,Manage subscriptions,json,automation,"subscriptions, recurring, billing",300,ghl-billing-cycles|ghl-payment-gateway,not-started
ghl-cart-recovery,ecommerce,Abandoned cart recovery,Recover abandoned carts,json,automation,"cart recovery, ecommerce, email",350,ghl-order-fulfillment|ghl-email-sequence,not-started
ghl-order-confirmation,ecommerce,Order confirmation emails,Auto-send order confirmation,json,automation,"order confirmation, email",280,ghl-email-sequence|ghl-order-fulfillment,not-started
ghl-order-fulfillment,ecommerce,Fulfillment tracking,Track order fulfillment,json,automation,"order fulfillment, tracking",300,ghl-workflow|ghl-shipping-notification,not-started
ghl-shipping-notification,ecommerce,Shipping updates,Send shipping notification,json,automation,"shipping, notification, email",250,ghl-email-sequence|ghl-order-fulfillment,not-started
ghl-delivery-confirmation,ecommerce,Delivery tracking,Confirm delivery,json,automation,"delivery, tracking, confirmation",250,ghl-order-fulfillment|ghl-review-request,not-started
ghl-review-request,ecommerce,Review request automation,Ask for product reviews,json,automation,"reviews, reputation, automation",300,ghl-email-sequence|ghl-delivery-confirmation,not-started
ghl-refund-workflow,ecommerce,Refund processing,Process refund automatically,guide,guide,"refunds, processing, automation",250,ghl-payment-gateway|ghl-return-authorization,not-started
ghl-return-authorization,ecommerce,Return management,Authorize product returns,guide,guide,"returns, authorization, logistics",250,ghl-refund-workflow|ghl-order-fulfillment,not-started
ghl-upsell-order-bump,ecommerce,Order bumps,Upsell on checkout page,json,automation,"order bumps, upsells, revenue",300,ghl-checkout-builder|ghl-upsell-sequence,not-started
ghl-loyalty-program,ecommerce,Loyalty automation,Rewards program automation,json,automation,"loyalty, rewards, retention",350,ghl-workflow|ghl-customer-retention,not-started
ghl-client-onboarding,customer,Client onboarding sequences,Post-purchase onboarding,json,automation,"onboarding, customer success",350,ghl-email-sequence|ghl-workflow,not-started
ghl-onboarding-checklist,customer,Onboarding checklists,New customer checklist,guide,guide,"checklists, onboarding, success",250,ghl-client-onboarding|ghl-milestone-automation,not-started
ghl-customer-training,customer,Training sequences,Product training email series,json,automation,"training, education, onboarding",300,ghl-email-sequence|ghl-client-onboarding,not-started
ghl-product-tour,customer,Feature introduction,Interactive product tour,guide,guide,"product tour, features, onboarding",200,ghl-client-onboarding|ghl-customer-training,not-started
ghl-milestone-automation,customer,Achievement triggers,Celebrate customer milestones,json,automation,"milestones, achievements, celebration",250,ghl-onboarding-checklist|ghl-customer-success,not-started
ghl-customer-support-ticket,customer,Support ticketing,Create support tickets,guide,guide,"support, ticketing, automation",250,ghl-help-desk-automation|ghl-workflow,not-started
ghl-help-desk-automation,customer,Help desk workflows,Support ticket automation,json,automation,"help desk, support, automation",300,ghl-workflow|ghl-customer-support-ticket,not-started
ghl-feedback-collection,customer,NPS and survey automation,Collect customer feedback,json,automation,"feedback, nps, surveys",300,ghl-survey|ghl-customer-health-score,not-started
ghl-customer-health-score,customer,Health monitoring,Monitor customer health,guide,guide,"health scoring, monitoring, churn",250,ghl-feedback-collection|ghl-churn-prevention,not-started
ghl-churn-prevention,customer,At-risk detection,Identify churn risk,guide,guide,"churn prevention, at-risk, retention",250,ghl-customer-health-score|ghl-win-back,not-started
ghl-win-back,customer,Reactivation campaigns,Win back lost customers,json,automation,"reactivation, win-back, retention",350,ghl-churn-prevention|ghl-email-sequence,not-started
ghl-customer-community,customer,Community engagement,Engage in customer community,guide,guide,"community, engagement, retention",200,ghl-client-onboarding|ghl-feedback-collection,not-started
ghl-vip-program,customer,VIP treatment workflows,Premium customer program,json,automation,"vip, premium, treatment",300,ghl-loyalty-program|ghl-segment-builder,not-started
ghl-account-expansion,customer,Upsell to existing,Expand account value,json,automation,"account expansion, upsell, retention",300,ghl-upsell-sequence|ghl-email-sequence,not-started
ghl-renewal-reminder,customer,Renewal automation,Remind about renewal,json,automation,"renewal, reminders, retention",250,ghl-email-sequence|ghl-appointment,not-started
ghl-cancellation-recovery,customer,Cancel prevention,Prevent cancellation,json,automation,"cancellation, retention, recovery",350,ghl-churn-prevention|ghl-win-back,not-started
ghl-lead-routing,lead,Auto-assign leads,Round robin assignment,guide,guide,"lead routing, assignment, distribution",250,ghl-segment-builder|ghl-workflow,not-started
ghl-lead-scoring,lead,Lead qualification scoring,Score leads automatically,json,automation,"lead scoring, qualification",300,ghl-segment-builder|ghl-lead-routing,not-started
ghl-lead-scoring-behavior,lead,Behavioral scoring,Score by actions,guide,guide,"behavioral scoring, actions",200,ghl-lead-scoring|ghl-email-analytics,not-started
ghl-lead-scoring-demographic,lead,Demographic scoring,Score by company size,guide,guide,"demographic scoring, firmographics",200,ghl-lead-scoring|ghl-lead-enrichment,not-started
ghl-lead-scoring-engagement,lead,Engagement metrics,Score by engagement,guide,guide,"engagement scoring, metrics",200,ghl-lead-scoring|ghl-lead-scoring-behavior,not-started
ghl-lead-enrichment,lead,Data enrichment,Enrich lead data,guide,guide,"lead enrichment, data, integration",250,ghl-lead-routing|ghl-lead-deduplication,not-started
ghl-lead-deduplication,lead,Find duplicates,Identify duplicate leads,guide,guide,"deduplication, duplicates, data",200,ghl-lead-enrichment|ghl-contact-merge,not-started
ghl-lead-cleansing,lead,Data quality,Clean contact data,guide,guide,"data quality, cleansing, validation",250,ghl-lead-deduplication|ghl-list-hygiene,not-started
ghl-contact-merge,lead,Merge contacts,Combine duplicate contacts,guide,guide,"contact merge, consolidation",200,ghl-lead-deduplication|ghl-lead-cleansing,not-started
ghl-lead-distribution,lead,Round-robin distribution,Distribute leads evenly,guide,guide,"distribution, round-robin, assignment",200,ghl-lead-routing|ghl-workflow,not-started
ghl-segment-builder,lead,Create audience segments,Create hot leads segment,guide,guide,"segmentation, audiences, targeting",250,ghl-lead-scoring|ghl-tagging-strategy,not-started
ghl-segment-dynamic,lead,Dynamic segments,Auto-update segments,guide,guide,"dynamic segments, automation",250,ghl-segment-builder|ghl-workflow,not-started
ghl-segment-rfm,lead,RFM analysis,Recency Frequency Monetary,guide,guide,"rfm analysis, segmentation",250,ghl-segment-builder|ghl-cohort-analysis,not-started
ghl-tagging-strategy,lead,Tag organization,Organize tags systematically,guide,guide,"tagging, organization, structure",200,ghl-segment-builder|ghl-lead-scoring,not-started
