command_id,category,purpose,real_world_example,output_type,template_type,kb_search_queries,estimated_lines,similar_commands,status
ghl-list-management,lead,List organization,Organize contact lists,guide,guide,"lists, organization, management",200,ghl-segment-builder|ghl-list-hygiene,not-started
ghl-list-hygiene,lead,List cleaning,Remove inactive contacts,guide,guide,"list hygiene, cleaning, maintenance",250,ghl-list-management|ghl-bounced-email-handling,not-started
ghl-bounced-email-handling,lead,Handle bounces,Process bounced emails,guide,guide,"bounces, deliverability, cleanup",200,ghl-list-hygiene|ghl-email-compliance,not-started
ghl-spam-complaint-handling,lead,Handle complaints,Process spam complaints,guide,guide,"spam complaints, handling, compliance",200,ghl-bounced-email-handling|ghl-email-compliance,not-started
ghl-blog-automation,content,Blog to email,Auto-send blog posts to email,json,automation,"blog, email, automation",280,ghl-email-sequence|ghl-content-calendar,not-started
ghl-video-marketing,content,Video sequences,Video email sequences,json,automation,"video, marketing, sequences",300,ghl-email-sequence|ghl-youtube-integration,not-started
ghl-podcast-automation,content,Podcast promotion,Promote podcast episodes,json,automation,"podcast, promotion, automation",280,ghl-email-sequence|ghl-blog-automation,not-started
ghl-content-calendar,content,Content planning,Plan marketing content,guide,guide,"content calendar, planning, strategy",200,ghl-blog-automation|ghl-social-media-automation,not-started
ghl-social-media-automation,content,Social posting,Auto-post to social media,guide,guide,"social media, automation, posting",250,ghl-content-calendar|ghl-zapier-integration,not-started
ghl-content-personalization,content,Dynamic content,Personalize content by segment,guide,guide,"personalization, dynamic content",250,ghl-email-sequence|ghl-progressive-profiling,not-started
ghl-multi-language,content,Multilingual campaigns,Multi-language sequences,guide,guide,"multilingual, languages, i18n",250,ghl-content-personalization|ghl-segment-builder,not-started
ghl-timezone-automation,content,Timezone handling,Send by recipient timezone,guide,guide,"timezone, scheduling, automation",200,ghl-email-timing|ghl-workflow,not-started
ghl-a-b-testing,content,Split testing,A-B test campaigns,guide,guide,"a-b testing, split testing, optimization",250,ghl-email-testing|ghl-landing-page-ab-test,not-started
ghl-multivariate-testing,content,Multivariate tests,Test multiple variables,guide,guide,"multivariate testing, optimization",250,ghl-a-b-testing|ghl-analytics-setup,not-started
ghl-dynamic-content,content,Conditional content,Show different content per person,guide,guide,"dynamic content, conditional, personalization",250,ghl-content-personalization|ghl-email-personalization,not-started
ghl-progressive-profiling,content,Data collection,Gradually collect customer data,guide,guide,"progressive profiling, data",250,ghl-form-field|ghl-content-personalization,not-started
ghl-preference-center,content,Subscription management,Manage email preferences,guide,guide,"preferences, subscriptions, management",200,ghl-email-compliance|ghl-segment-builder,not-started
ghl-unsubscribe-automation,content,Unsubscribe flows,Handle unsubscribes,guide,guide,"unsubscribes, compliance, automation",200,ghl-email-compliance|ghl-preference-center,not-started
ghl-resubscribe-workflow,content,Resubscribe options,Win back unsubscribed,json,automation,"resubscribe, win-back, retention",250,ghl-unsubscribe-automation|ghl-win-back,not-started
ghl-notification-center,content,Notification hub,Centralize all notifications,guide,guide,"notifications, hub, center",200,ghl-preferences-center|ghl-workflow,not-started
ghl-zapier-integration,integration,Zapier setup,Connect to Zapier,guide,guide,"zapier, integration, automation",250,ghl-make-integration|ghl-workflow,not-started
ghl-make-integration,integration,Make.com setup,Connect to Make,guide,guide,"make, integration, automation",250,ghl-zapier-integration|ghl-workflow,not-started
ghl-slack-integration,integration,Slack automation,Send Slack notifications,guide,guide,"slack, notifications, integration",200,ghl-workflow|ghl-discord-integration,not-started
ghl-discord-integration,integration,Discord bots,Create Discord bots,guide,guide,"discord, bots, integration",200,ghl-slack-integration|ghl-telegram-integration,not-started
ghl-telegram-integration,integration,Telegram bots,Create Telegram bots,guide,guide,"telegram, bots, messaging",200,ghl-discord-integration|ghl-workflow,not-started
ghl-stripe-integration,integration,Stripe setup,Connect Stripe payments,guide,guide,"stripe, payments, integration",250,ghl-payment-gateway|ghl-checkout-builder,not-started
ghl-paypal-integration,integration,PayPal setup,Connect PayPal,guide,guide,"paypal, payments, integration",200,ghl-stripe-integration|ghl-payment-gateway,not-started
ghl-shopify-integration,integration,Shopify sync,Sync with Shopify store,guide,guide,"shopify, ecommerce, sync",250,ghl-woocommerce-integration|ghl-product-setup,not-started
ghl-woocommerce-integration,integration,WooCommerce sync,Sync with WooCommerce,guide,guide,"woocommerce, ecommerce, sync",250,ghl-shopify-integration|ghl-product-setup,not-started
ghl-salesforce-integration,integration,Salesforce CRM,Connect Salesforce,guide,guide,"salesforce, crm, integration",300,ghl-hubspot-integration|ghl-lead-routing,not-started
ghl-hubspot-integration,integration,HubSpot sync,Sync with HubSpot,guide,guide,"hubspot, crm, integration",300,ghl-salesforce-integration|ghl-lead-routing,not-started
ghl-google-sheets-integration,integration,Google Sheets export,Export data to Sheets,guide,guide,"google sheets, export, integration",200,ghl-data-export|ghl-zapier-integration,not-started
ghl-webhook-setup,integration,Custom webhooks,Set up webhooks,guide,guide,"webhooks, custom, integration",250,ghl-webhook-receiver|ghl-api-integration,not-started
ghl-api-integration,integration,API connections,Connect custom APIs,guide,guide,"api, integration, custom",300,ghl-webhook-setup|ghl-api-trigger,not-started
ghl-calendar-sync,integration,Calendar integration,Sync with calendar apps,guide,guide,"calendar, sync, integration",200,ghl-sales-call-booking|ghl-appointment,not-started
ghl-crm-migration,integration,Migrate from other CRM,Import from other platform,guide,guide,"migration, import, crm",300,ghl-data-import|ghl-contact-merge,not-started
ghl-data-export,integration,Export data,Export to other platforms,guide,guide,"export, data, integration",250,ghl-google-sheets-integration|ghl-data-import,not-started
ghl-data-import,integration,Import data,Import from other systems,guide,guide,"import, data, integration",250,ghl-crm-migration|ghl-lead-enrichment,not-started
ghl-custom-field-mapping,integration,Map custom fields,Map fields between systems,guide,guide,"field mapping, integration, data",250,ghl-data-import|ghl-custom-fields,not-started
ghl-two-way-sync,integration,Bidirectional sync,Two-way data sync,guide,guide,"sync, bidirectional, integration",250,ghl-data-import|ghl-data-export,not-started
ghl-analytics-setup,reporting,Dashboard setup,Set up analytics dashboard,guide,guide,"analytics, dashboard, setup",250,ghl-metrics-dashboard|ghl-workflow,not-started
ghl-funnel-analysis,reporting,Conversion funnels,Analyze conversion funnels,guide,guide,"funnel analysis, conversion, metrics",250,ghl-analytics-setup|ghl-roi-calculation,not-started
ghl-attribution-modeling,reporting,Multi-touch attribution,Track multi-touch attribution,guide,guide,"attribution, multi-touch, analytics",300,ghl-analytics-setup|ghl-revenue-tracking,not-started
ghl-revenue-tracking,reporting,Revenue analytics,Track revenue by source,guide,guide,"revenue, analytics, tracking",250,ghl-analytics-setup|ghl-roi-calculation,not-started
ghl-roi-calculation,reporting,ROI by campaign,Calculate campaign ROI,guide,guide,"roi, analytics, campaign",250,ghl-revenue-tracking|ghl-cac-calculation,not-started
ghl-cohort-analysis,reporting,Customer cohorts,Analyze customer cohorts,guide,guide,"cohort analysis, analytics",250,ghl-analytics-setup|ghl-retention-analysis,not-started
ghl-retention-analysis,reporting,Churn and retention,Analyze customer retention,guide,guide,"retention, churn, analytics",250,ghl-cohort-analysis|ghl-ltv-calculation,not-started
ghl-ltv-calculation,reporting,Lifetime value,Calculate customer LTV,guide,guide,"ltv, lifetime value, analytics",250,ghl-analytics-setup|ghl-retention-analysis,not-started
ghl-cac-calculation,reporting,Customer acquisition cost,Calculate CAC,guide,guide,"cac, acquisition cost, analytics",250,ghl-analytics-setup|ghl-roi-calculation,not-started
ghl-custom-report,reporting,Custom reports,Create custom reports,guide,guide,"custom reports, analytics",250,ghl-analytics-setup|ghl-data-visualization,not-started
ghl-email-analytics,reporting,Email stats,Email performance analytics,guide,guide,"email analytics, stats, performance",200,ghl-analytics-setup|ghl-email-sequence,not-started
ghl-sms-analytics,reporting,SMS stats,SMS performance analytics,guide,guide,"sms analytics, stats, performance",200,ghl-analytics-setup|ghl-sms-automation,not-started
ghl-form-analytics,reporting,Form performance,Form conversion analytics,guide,guide,"form analytics, conversion, performance",200,ghl-analytics-setup|ghl-form,not-started
ghl-page-analytics,reporting,Page stats,Page performance analytics,guide,guide,"page analytics, performance, tracking",200,ghl-analytics-setup|ghl-landing-page,not-started
ghl-google-analytics-integration,reporting,GA sync,Sync with Google Analytics,guide,guide,"google analytics, integration, sync",250,ghl-analytics-setup|ghl-data-import,not-started
ghl-data-visualization,reporting,Charts and graphs,Create data visualizations,guide,guide,"data visualization, charts, graphs",250,ghl-custom-report|ghl-analytics-setup,not-started
ghl-ads-funnel,ads,Ad funnel setup,Complete ad to sale funnel,json,automation,"ads, funnel, optimization",350,ghl-facebook-ads|ghl-landing-page,not-started
ghl-facebook-ads,ads,Facebook integration,Connect Facebook ads,guide,guide,"facebook, ads, integration",250,ghl-ads-funnel|ghl-google-ads,not-started
ghl-google-ads,ads,Google Ads setup,Connect Google Ads,guide,guide,"google ads, integration, setup",250,ghl-facebook-ads|ghl-linkedin-ads,not-started
ghl-linkedin-ads,ads,LinkedIn campaigns,LinkedIn ad setup,guide,guide,"linkedin, ads, campaigns",250,ghl-google-ads|ghl-tiktok-ads,not-started
ghl-tiktok-ads,ads,TikTok integration,TikTok ads setup,guide,guide,"tiktok, ads, integration",250,ghl-linkedin-ads|ghl-instagram-ads,not-started
ghl-instagram-ads,ads,Instagram ads,Instagram ads setup,guide,guide,"instagram, ads, setup",250,ghl-tiktok-ads|ghl-twitter-ads,not-started
ghl-twitter-ads,ads,Twitter ads,Twitter X ads,guide,guide,"twitter, ads, x, setup",250,ghl-instagram-ads|ghl-snapchat-ads,not-started
ghl-snapchat-ads,ads,Snapchat ads,Snapchat ads setup,guide,guide,"snapchat, ads, setup",250,ghl-twitter-ads|ghl-ad-targeting,not-started
ghl-ad-targeting,ads,Audience targeting,Target specific audiences,guide,guide,"targeting, audience, ads",250,ghl-ads-funnel|ghl-retargeting-setup,not-started
ghl-retargeting-setup,ads,Pixel and retargeting,Retargeting setup,guide,guide,"retargeting, pixel, ads",250,ghl-ad-targeting|ghl-facebook-ads,not-started
ghl-ad-copy-formulas,ads,Ad copywriting,Write converting ads,guide,guide,"ad copy, copywriting, formulas",250,ghl-email-copy|ghl-landing-page-copy,not-started
ghl-campaign-tracking,ads,UTM and tracking,Set up campaign tracking,guide,guide,"utm, tracking, campaigns",200,ghl-analytics-setup|ghl-ads-funnel,not-started
ghl-budget-optimization,ads,Spend allocation,Optimize ad spend,guide,guide,"budget, optimization, spend",250,ghl-ads-funnel|ghl-roi-calculation,not-started
ghl-ad-creative-testing,ads,Creative variations,Test ad creatives,guide,guide,"creative testing, ads, a-b testing",250,ghl-a-b-testing|ghl-ads-funnel,not-started
ghl-compliance-checklist,compliance,Compliance audit,Full compliance audit,guide,guide,"compliance, audit, checklist",300,ghl-gdpr-compliance|ghl-audit-prep,not-started
ghl-gdpr-compliance,compliance,GDPR setup,GDPR compliance checklist,guide,guide,"gdpr, compliance, privacy",300,ghl-compliance-checklist|ghl-ccpa-compliance,not-started
ghl-ccpa-compliance,compliance,CCPA compliance,CCPA requirements,guide,guide,"ccpa, compliance, privacy",300,ghl-gdpr-compliance|ghl-can-spam-compliance,not-started
ghl-can-spam-compliance,compliance,CAN-SPAM rules,Email compliance,guide,guide,"can-spam, email, compliance",250,ghl-ccpa-compliance|ghl-tcpa-compliance,not-started
ghl-tcpa-compliance,compliance,TCPA SMS rules,SMS compliance,guide,guide,"tcpa, sms, compliance",250,ghl-can-spam-compliance|ghl-sms-automation,not-started
ghl-hipaa-compliance,compliance,Healthcare compliance,HIPAA requirements,guide,guide,"hipaa, healthcare, compliance",300,ghl-compliance-checklist|ghl-data-privacy,not-started
ghl-pci-compliance,compliance,Payment compliance,PCI DSS requirements,guide,guide,"pci dss, payment, compliance",300,ghl-compliance-checklist|ghl-payment-gateway,not-started
ghl-soc-2-compliance,compliance,SOC 2 checklist,SOC 2 requirements,guide,guide,"soc 2, compliance, security",300,ghl-compliance-checklist|ghl-security-audit,not-started
ghl-data-privacy,compliance,Privacy policies,Create privacy policies,guide,guide,"privacy, policies, compliance",250,ghl-compliance-checklist|ghl-consent-management,not-started
ghl-consent-management,compliance,Consent tracking,Consent management,guide,guide,"consent, gdpr, compliance",250,ghl-data-privacy|ghl-gdpr-compliance,not-started
ghl-security-audit,compliance,Security checklist,Full security audit,guide,guide,"security, audit, checklist",300,ghl-compliance-checklist|ghl-password-security,not-started
ghl-password-security,compliance,Password policies,Security passwords,guide,guide,"password security, policies",200,ghl-security-audit|ghl-two-factor-auth,not-started
ghl-two-factor-auth,compliance,2FA setup,Two-factor authentication,guide,guide,"2fa, two-factor, security",200,ghl-password-security|ghl-access-control,not-started
ghl-access-control,compliance,Role-based access,Manage user access,guide,guide,"access control, roles, permissions",250,ghl-two-factor-auth|ghl-multi-user-setup,not-started
ghl-troubleshoot,troubleshooting,Problem diagnosis,General troubleshooting,guide,guide,"troubleshooting, diagnosis, help",300,ghl-command-finder|ghl-workflow-debug,not-started
ghl-workflow-debug,troubleshooting,Workflow issues,Debug workflow problems,guide,guide,"workflow debugging, troubleshooting",250,ghl-troubleshoot|ghl-workflow-performance,not-started
ghl-email-deliverability,troubleshooting,Email problems,Fix email issues,guide,guide,"email deliverability, troubleshooting",300,ghl-troubleshoot|ghl-email-compliance,not-started
ghl-sms-delivery-issues,troubleshooting,SMS problems,Fix SMS delivery,guide,guide,"sms delivery, troubleshooting",250,ghl-troubleshoot|ghl-sms-automation,not-started
ghl-form-not-submitting,troubleshooting,Form bugs,Fix form submission,guide,guide,"form errors, troubleshooting",200,ghl-troubleshoot|ghl-form,not-started
ghl-integration-troubleshoot,troubleshooting,Integration issues,Fix integration problems,guide,guide,"integration troubleshooting, issues",250,ghl-troubleshoot|ghl-webhook-setup,not-started
ghl-sync-problems,troubleshooting,Sync issues,Fix data sync problems,guide,guide,"sync issues, troubleshooting",200,ghl-troubleshoot|ghl-integration-troubleshoot,not-started
ghl-performance-optimization,troubleshooting,Speed issues,Optimize speed,guide,guide,"performance, optimization, speed",250,ghl-troubleshoot|ghl-workflow-performance,not-started
ghl-common-errors,troubleshooting,Error code lookup,Error code reference,guide,guide,"error codes, reference, help",200,ghl-troubleshoot|ghl-command-finder,not-started
ghl-contact-support,troubleshooting,Get help,Contact support,guide,guide,"support, help, contact",100,ghl-troubleshoot|ghl-help,not-started
ghl-template-library,templates,Browse templates,Access template library,guide,guide,"templates, library, browse",250,ghl-workflow-template|ghl-command-finder,not-started
ghl-workflow-template,templates,Workflow templates,Use workflow templates,json,automation,"workflow templates, library",300,ghl-template-library|ghl-workflow,not-started
ghl-email-template,templates,Email templates,Use email templates,guide,guide,"email templates, library",200,ghl-template-library|ghl-email-sequence,not-started
ghl-form-template,templates,Form templates,Use form templates,guide,guide,"form templates, library",200,ghl-template-library|ghl-form,not-started
ghl-funnel-template,templates,Funnel templates,Use funnel templates,json,automation,"funnel templates, library",300,ghl-template-library|ghl-funnel,not-started
ghl-sequence-template,templates,Sequence templates,Use sequence templates,json,automation,"sequence templates, library",300,ghl-template-library|ghl-email-sequence,not-started
ghl-page-template,templates,Page templates,Use page templates,guide,guide,"page templates, library",200,ghl-template-library|ghl-landing-page,not-started
ghl-integration-template,templates,Integration templates,Use integration templates,guide,guide,"integration templates, library",200,ghl-template-library|ghl-zapier-integration,not-started
ghl-template-create,templates,Save as template,Save workflow as template,guide,guide,"template creation, saving",150,ghl-workflow-template|ghl-template-library,not-started
ghl-template-clone,templates,Clone template,Clone existing template,guide,guide,"template cloning, duplication",150,ghl-template-library|ghl-template-create,not-started
ghl-template-customize,templates,Customize template,Customize saved template,guide,guide,"template customization, editing",200,ghl-template-clone|ghl-template-library,not-started
ghl-template-share,templates,Share template,Share template with team,guide,guide,"template sharing, collaboration",200,ghl-template-customize|ghl-multi-user-setup,not-started
ghl-saas-mode,advanced,SaaS mode setup,Set up SaaS mode,guide,guide,"saas mode, white label, setup",300,ghl-white-label|ghl-multi-user-setup,not-started
ghl-white-label,advanced,White labeling,White label GHL,guide,guide,"white label, branding, saas",300,ghl-saas-mode|ghl-custom-domain,not-started
ghl-custom-domain,advanced,Custom domains,Set up custom domain,guide,guide,"custom domain, setup, branding",200,ghl-white-label|ghl-branding,not-started
ghl-branding,advanced,Brand customization,Customize branding,guide,guide,"branding, customization, white label",200,ghl-custom-domain|ghl-white-label,not-started
ghl-multi-user-setup,advanced,User management,Add multiple users,guide,guide,"user management, team, setup",250,ghl-permissions-roles|ghl-saas-mode,not-started
ghl-permissions-roles,advanced,Role based access,Set up permissions,guide,guide,"permissions, roles, access control",250,ghl-multi-user-setup|ghl-access-control,not-started
ghl-custom-fields,advanced,Custom field setup,Create custom fields,guide,guide,"custom fields, setup",250,ghl-data-import|ghl-custom-field-mapping,not-started
ghl-calculated-fields,advanced,Formula fields,Use formula fields,guide,guide,"calculated fields, formulas",250,ghl-custom-fields|ghl-workflow,not-started
ghl-conditional-logic-advanced,advanced,Complex conditions,Build complex logic,guide,guide,"conditional logic, complex, workflow",300,ghl-workflow-condition|ghl-workflow-branch,not-started
ghl-api-documentation,advanced,API reference,API documentation,guide,guide,"api, documentation, reference",300,ghl-api-integration|ghl-webhook-setup,not-started
ghl-webhook-documentation,advanced,Webhook reference,Webhook documentation,guide,guide,"webhook, documentation, reference",300,ghl-webhook-setup|ghl-api-integration,not-started
ghl-growth-strategy,strategy,Growth planning,Plan business growth,guide,guide,"strategy, growth, planning",300,ghl-optimization-recommendations|ghl-industry-benchmarks,not-started
ghl-funnel-audit,strategy,Funnel analysis,Audit your funnel,guide,guide,"funnel audit, analysis, optimization",300,ghl-analytics-setup|ghl-funnel-analysis,not-started
ghl-optimization-recommendations,strategy,Improvement ideas,Get optimization recommendations,guide,guide,"optimization, recommendations, strategy",300,ghl-growth-strategy|ghl-analytics-setup,not-started
ghl-industry-benchmarks,strategy,Industry standards,Industry benchmark data,guide,guide,"benchmarks, industry standards, comparison",250,ghl-growth-strategy|ghl-analytics-setup,not-started
ghl-best-practices,strategy,GHL best practices,Learn GHL best practices,guide,guide,"best practices, ghl, optimization",300,ghl-optimization-recommendations|ghl-command-finder,not-started
ghl-competitive-analysis,strategy,Market analysis,Analyze your market,guide,guide,"competitive analysis, market, strategy",300,ghl-growth-strategy|ghl-industry-benchmarks,not-started
ghl-roadmap-planning,strategy,Implementation roadmap,Plan your roadmap,guide,guide,"roadmap, planning, implementation",300,ghl-growth-strategy|ghl-optimization-recommendations,not-started
ghl-resource-planning,strategy,Needs assessment,Assess resource needs,guide,guide,"resource planning, needs, assessment",250,ghl-growth-strategy|ghl-multi-user-setup,not-started
ghl-scaling-strategy,strategy,Scale from X to Y,Plan scaling strategy,guide,guide,"scaling, growth, strategy",300,ghl-growth-strategy|ghl-roadmap-planning,not-started
ghl-automation-strategy,strategy,Automation roadmap,Plan automation strategy,guide,guide,"automation strategy, roadmap, planning",300,ghl-best-practices|ghl-optimization-recommendations,not-started
ghl-getting-started,learning,Beginner guide,Getting started guide,guide,guide,"getting started, beginner, onboarding",300,ghl-glossary|ghl-quick-start,not-started
ghl-tutorial,learning,Video tutorials,Video tutorials and guides,guide,guide,"tutorials, videos, learning",200,ghl-getting-started|ghl-command-finder,not-started
ghl-glossary,learning,GHL terminology,Glossary of terms,guide,guide,"glossary, terminology, definitions",250,ghl-getting-started|ghl-tutorial,not-started
ghl-course-builder,learning,Training course,Create training course,guide,guide,"courses, training, education",250,ghl-tutorial|ghl-getting-started,not-started
ghl-certification-prep,learning,Cert study guide,Prepare for certification,guide,guide,"certification, exam, study",250,ghl-course-builder|ghl-tutorial,not-started
ghl-community-resources,learning,Community links,Community resources,guide,guide,"community, resources, learning",150,ghl-getting-started|ghl-glossary,not-started
ghl-faq,learning,FAQ,Frequently asked questions,guide,guide,"faq, questions, learning",200,ghl-getting-started|ghl-tutorial,not-started
ghl-roadmap,learning,Product roadmap,GHL product roadmap,guide,guide,"roadmap, features, planning",150,ghl-getting-started|ghl-command-finder,not-started
ghl-help,meta,General help,Show help and commands,guide,guide,"help, general, support",200,ghl-search|ghl-command-list,not-started
ghl-search,meta,Universal search,Search for commands,guide,guide,"search, discovery, commands",300,ghl-command-finder|ghl-help,not-started
ghl-command-finder,meta,Find right command,Guided command discovery,guide,guide,"command finder, discovery, help",250,ghl-search|ghl-command-list,not-started
ghl-command-list,meta,All commands,List all commands,guide,guide,"command list, reference, all",200,ghl-command-finder|ghl-help,not-started
ghl-quick-start,meta,30-min onboarding,Quick start guide,guide,guide,"quick start, onboarding, getting started",250,ghl-getting-started|ghl-help,not-started
ghl-feedback,meta,Feature requests,Submit feedback,guide,guide,"feedback, feature requests, support",100,ghl-help|ghl-contact-support,not-started
ghl-status,meta,System status,Check system status,guide,guide,"status, system, health",100,ghl-help|ghl-troubleshoot,not-started
ghl-changelog,meta,Recent updates,Changelog and updates,guide,guide,"changelog, updates, new features",150,ghl-status|ghl-roadmap,not-started
ghl-credits,meta,About GHL WHIZ,About this tool,guide,guide,"about, credits, information",100,ghl-help|ghl-getting-started,not-started